"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","polouse","syrian","russium","trump","league","olympic","percent","england","film","woman"
"2","court","syrium","russian","clinton","club","rio","china","indium","dres","child"
"3","officer","iran","school","republican","player","race","bank","australium","black","drug"
"4","car","korea","student","obama","cup","game","cent","test","award","health"
"5","shoot","nuclear","ukraine","vote","chelsea","brazil","oil","water","model","patient"
"6","driver","south","flight","turkey","goal","tournament","rate","africa","movie","philippine"
"7","sentence","attack","book","party","liverpool","golf","chinese","egypt","actres","food"
"8","judge","north","crash","israel","season","match","price","indian","actor","hospital"
"9","prosecutor","islamic","putin","election","game","gold","company","fire","dance","cancer"
"10","law","rebel","plane","israeli","city","william","index","dog","fashion","viru"
"11","trial","iraq","airport","britain","arsenal","medal","euro","zealand","bikini","sea"
"12","arrest","korean","airline","migrant","manchester","tmy","billion","ireland","kardashian","baby"
"13","prison","pakistan","train","refugee","leicester","murray","market","rugby","kim","disease"
"14","boy","saudi","passenger","palestinian","madrid","australian","tax","island","singer","study"
"15","vehicle","iraqi","music","turkish","unite","tenni","stock","cricket","star","care"
"16","user","military","moscow","candidate","barcelona","athlete","trade","church","instagram","ebola"
"17","girl","afghanistan","album","bill","football","sport","growth","animal","festival","thailand"
"18","justice","afghan","art","senate","score","johnson","sale","climate","wed","mother"
"19","murder","militant","museum","european","premier","melbourne","beijing","sydney","site","doctor"
"20","gun","bomb","song","house","mourinho","hole","economy","egyptian","birthday","restaurant"
"21","sexual","nigerium","prince","voter","van","san","fund","boat","daughter","zika"
"22","lawsuit","sudan","hotel","mexico","fan","nba","investor","bangladesh","bbc","parent"
"23","department","sanction","university","germany","tottenham","cleveland","dollar","jone","son","vietnam"
"24","abuse","right","york","labmy","coach","nfl","million","scotland","christma","brain"
"25","gay","taliban","ukrainian","president","fifa","round","greece","wale","beach","father"
"26","apple","kerry","ship","poll","soccer","birdie","feed","wicket","sam","drink"
"27","county","muslim","education","campaign","west","lee","rise","storm","kate","mis"
"28","victim","african","park","immigration","everton","boston","worker","indonesium","kelly","duterte"
"29","facebook","yeman","myanmar","brexit","hamilton","fight","yen","pope","pair","surgery"
"30","app","peace","aircraft","cameron","ham","dope","energy","smith","wear","thomson"
